season,team,source_name,rank,adjoe,adjde,adj_em,barthag,sos_adj,luck,wab
2020,Nevada Wolf Pack,Nevada,80,110.0913,100.1696,9.9217,0.747651,0.563392,-0.037976,-3.7009
2020,Texas St.,Texas St.,81,106.6923,97.3259,9.3664,0.742053,0.442544,-0.081971,-4.8504
2020,SMU Mustangs,SMU,82,112.9556,103.2523,9.7033,0.737482,0.582197,0.012238,-2.5443
2020,Akron Zips,Akron,83,107.9092,98.7845,9.1247,0.734196,0.454965,0.047042,-0.9908
2020,Oregon St.,Oregon St.,84,110.529,101.363,9.166,0.730184,0.625102,0.013968,-2.8643
2020,New Mexico State Aggies,New Mexico St.,85,107.6736,99.0054,8.6682,0.72416,0.369385,0.028679,-1.4124
2020,Furman Paladins,Furman,86,106.5771,98.0205,8.5567,0.723615,0.443007,0.065927,-0.7586
2020,TCU Horned Frogs,TCU,87,105.0919,96.7466,8.3453,0.721419,0.687544,0.007387,-3.3318
2020,Georgia Bulldogs,Georgia,88,108.7301,100.1021,8.628,0.721276,0.663738,-0.015122,-4.213
2020,Vermont Catamounts,Vermont,89,105.4177,97.0845,8.3332,0.720514,0.36544,0.016079,-1.8489
2020,Iowa State Cyclones,Iowa St.,90,109.3091,100.7981,8.511,0.71752,0.722829,-0.057138,-5.5882
2020,Duquesne Dukes,Duquesne,91,106.9716,98.8879,8.0837,0.711695,0.53514,0.053722,-1.6726
2020,Kansas State Wildcats,Kansas St.,92,102.2983,94.6802,7.618,0.708881,0.717854,-0.096839,-7.273
2020,Northern Colorado,Northern Colorado,93,109.2527,101.1326,8.1201,0.708509,0.400589,-0.029459,-3.7127
2020,UNC Greensboro Spartans,UNC Greensboro,94,103.1999,95.5689,7.631,0.707533,0.442642,0.015431,-2.5692
2020,Loyola Chicago Ramblers,Loyola Chicago,95,103.8146,96.3019,7.5127,0.703467,0.501726,-0.013291,-4.2556
2020,DePaul Blue Demons,DePaul,96,102.6021,95.2684,7.3337,0.701163,0.688322,0.046498,-2.5572
2020,UNLV Rebels,UNLV,97,107.5029,100.0638,7.4391,0.695225,0.596613,-0.048067,-5.8548
2020,Boise State Broncos,Boise St.,98,105.9139,98.6464,7.2675,0.693701,0.568548,0.051872,-2.4232
2020,Belmont Bruins,Belmont,99,106.874,99.5464,7.3276,0.693559,0.3525,0.025807,-2.2495
2020,Missouri Tigers,Missouri,100,103.4833,96.4415,7.0417,0.692203,0.658947,-0.005938,-4.6165
2020,Wake Forest Demon Deacons,Wake Forest,101,108.8342,101.6229,7.2114,0.68749,0.687503,-0.040208,-5.9669
2020,Miami Hurricanes,Miami FL,102,107.194,100.1947,6.9993,0.684934,0.69895,0.045096,-3.3422
2020,Ole Miss Rebels,Mississippi,103,102.94,96.4852,6.4547,0.678022,0.646992,-0.021766,-5.5096
2020,Stephen F. Austin,Stephen F. Austin,104,103.3906,96.9151,6.4754,0.677826,0.317611,0.125462,1.3411
2020,UCF Knights,UCF,105,104.2265,98.1518,6.0747,0.666098,0.592483,-0.019519,-5.329
2020,Hofstra Pride,Hofstra,106,108.8683,102.5383,6.3299,0.665716,0.402943,0.048233,-2.7413
2020,Ball St.,Ball St.,107,99.4665,93.7109,5.7556,0.66496,0.446837,-0.099873,-7.3702
2020,Bradley Braves,Bradley,108,106.6283,100.5098,6.1186,0.663646,0.496844,0.031607,-4.0899
2020,South Florida,South Florida,109,100.6112,95.0013,5.6099,0.659213,0.624632,-0.063417,-7.3079
2020,Indiana State Sycamores,Indiana St.,110,105.8278,99.9586,5.8692,0.658397,0.546224,0.018809,-4.2378
2020,Utah Utes,Utah,111,106.0763,100.2497,5.8266,0.65694,0.684366,0.078102,-3.1414
2020,Harvard,Harvard,112,104.5098,98.8247,5.685,0.655483,0.475556,0.083235,-1.9825
2020,Colorado State Rams,Colorado St.,113,108.7144,103.0375,5.6769,0.649482,0.549083,0.057531,-3.2763
2020,UC Irvine Anteaters,UC Irvine,114,104.8643,99.4285,5.4358,0.648424,0.407474,-0.033258,-5.5708
2020,Pacific Tigers,Pacific,115,103.5188,98.2026,5.3163,0.647095,0.461575,0.055825,-2.816
2020,Northwestern Wildcats,Northwestern,116,105.3581,99.9512,5.4069,0.646994,0.730079,-0.11333,-8.9564
2020,Western Kentucky Hilltoppers,Western Kentucky,117,108.4916,103.0321,5.4595,0.644229,0.524009,0.069047,-3.2187
2020,Virginia Tech Hokies,Virginia Tech,118,103.2509,98.0974,5.1535,0.643093,0.639782,0.036613,-4.0684
2020,Washington State Cougars,Washington St.,119,102.2061,97.3994,4.8067,0.635056,0.610384,0.005145,-5.7449
2020,Missouri St.,Missouri St.,120,104.6957,99.8065,4.8893,0.634134,0.533838,-0.091131,-8.9891
2020,Northeastern,Northeastern,121,105.8866,101.2206,4.6661,0.626743,0.438033,-0.149258,-10.6963
2020,Wright State Raiders,Wright St.,122,104.9655,100.4161,4.5494,0.624704,0.326089,0.020474,-3.6432
2020,Pittsburgh Panthers,Pittsburgh,123,103.1848,98.7832,4.4016,0.622773,0.672226,0.056074,-4.7801
2020,St. Bonaventure,St. Bonaventure,124,106.6405,102.1673,4.4732,0.620764,0.522286,0.040945,-4.5472
2020,Temple,Temple,125,99.7675,95.6488,4.1187,0.618888,0.64998,0.003919,-6.5406
2020,Murray State Racers,Murray St.,126,102.5346,98.3178,4.2168,0.618443,0.337924,-0.016437,-4.8445
2020,North Dakota State Bison,North Dakota St.,127,105.9953,101.6421,4.3532,0.618285,0.371583,0.052406,-3.1476
2020,Pepperdine Waves,Pepperdine,128,107.7422,103.3894,4.3528,0.616388,0.582904,-0.004138,-6.2411
2020,Texas A&M Aggies,Texas A&M,129,101.1758,97.3536,3.8222,0.608942,0.64841,0.086223,-3.9067
2020,Kent St.,Kent St.,130,105.9169,101.9624,3.9546,0.607685,0.455688,-0.000798,-5.6727
2020,Georgia St.,Georgia St.,131,105.1435,101.3646,3.7789,0.603703,0.461652,-0.022365,-6.6598
2020,Penn,Penn,132,103.3589,99.7675,3.5914,0.600295,0.494582,0.018125,-4.4872
2020,South Dakota St.,South Dakota St.,133,108.3301,104.7852,3.545,0.594504,0.369166,0.005667,-4.6532
2020,Abilene Christian Wildcats,Abilene Christian,134,100.778,97.8692,2.9088,0.583417,0.32804,-0.06622,-6.5352
2020,UT Arlington,UT Arlington,135,101.4381,98.6414,2.7967,0.579692,0.507492,-0.117139,-10.3079
2020,Santa Clara Broncos,Santa Clara,136,102.8368,100.0487,2.7881,0.578372,0.475963,0.007787,-5.2228
